index,drg,drgnum,ePos,eType,fiberD_c,fiberD_p,fiberType,ground,neckAngle,neckD,nodes,phase,polarity,pw,scatterType,scatter_d,scatter_x,scatter_y,scatter_z,shift,soma_x,soma_y,soma_z,spikeOrigin,spikeT,status,thresh,timestep,tjnPos,tjn_x,tjn_y,tjn_z,x_spike,xshift,y_spike,z_spike
0,random,4,x0y0,utah,12.293000000000001,14.9,Aa,saline,90.62461175303272,14.9,,b,-1,0.08,soma,81.99253337399999,490.91210646391664,912.0636196838586,-686.9604244894149,,491.0,911.9136670603316,-687.0033593068883,none,0.0,success,105.0,0.005,"(491, 86, -678)",491.0,86.0,-678.0,,,,
1,random,4,x0y0,utah,12.728,15.4,Aa,saline,323.60240907898213,15.4,,b,-1,0.08,soma,83.382978154,1332.361786493923,243.14880493226292,1284.4477339083987,,1332.0,243.44127038170802,1284.4039795580775,none,0.0,success,105.0,0.005,"(1332, 734, 619)",1332.0,734.0,619.0,,,,
2,random,4,x0y0,utah,11.684,14.2,Aa,saline,249.5519220309545,14.2,,b,-1,0.08,soma,80.045910682,1527.9944495461248,-464.71094009137187,-827.9329741253188,,1528.0,-465.04650915451725,-828.2630205961455,none,0.0,success,105.0,0.005,"(1528, 308, -540)",1528.0,308.0,-540.0,,,,
3,random,4,x0y0,utah,13.424,16.2,Aa,saline,170.51535745264687,16.2,,b,-1,0.08,soma,85.607689802,-327.9255171164969,421.2639518816612,-1205.8080570500344,,-328.0,421.42207363968487,-1205.4629322258565,periphery,5.24500000000012,success,84.5947265625,0.005,"(-328, 285, -389)",-328.0,285.0,-389.0,-328.0,,285.0,-389.0
4,random,4,x0y0,utah,14.816,17.8,Aa,saline,203.50688127735557,17.8,,b,-1,0.08,soma,90.05711309799999,-992.6452611949153,160.3528953255,-1039.0315939033608,,-993.0,159.90160879260384,-1039.1361863554332,periphery,5.24500000000012,success,43.6431884765625,0.005,"(-993, 491, -278)",-993.0,491.0,-278.0,-993.0,,491.0,-278.0
5,random,4,x0y0,utah,13.946,16.8,Aa,saline,296.7451629858972,16.8,,b,-1,0.08,soma,87.27622353800001,705.4245798556695,-135.77323424583486,907.8562473421421,,705.0,-135.97383380971723,907.8871502960501,central,5.175000000000109,success,105.0,0.005,"(705, 604, 535)",705.0,604.0,535.0,705.0,,604.0,535.0
6,random,4,x0y0,utah,8.813,10.9,Aa,saline,51.063930024567746,10.9,,b,-1,0.08,soma,70.86897513400001,-533.8882110705003,475.7781465235944,256.1669479536936,,-534.0,476.1339444296128,256.6430754358596,none,0.0,success,105.0,0.005,"(-534, -162, -259)",-534.0,-162.0,-259.0,,,,
7,random,4,x0y0,utah,12.728,15.4,Aa,saline,116.22116716175987,15.4,,b,-1,0.08,soma,83.382978154,917.6813883487666,897.3310198975732,109.89947224161823,,918.0,897.624934850977,109.76770012578129,none,0.0,success,105.0,0.005,"(918, 156, 475)",918.0,156.0,475.0,,,,
8,random,4,x0y0,utah,12.554,15.2,Aa,saline,144.17996383352485,15.2,,b,-1,0.08,soma,82.82680024199999,-1605.0173941347425,837.8021094019887,-351.24008409517273,,-1605.0,837.6171217508094,-351.138626158119,periphery,5.305000000000129,success,87.78076171875,0.005,"(-1605, 354, 319)",-1605.0,354.0,319.0,-1605.0,,354.0,319.0
9,random,4,x0y0,utah,11.771,14.3,Aa,saline,17.101086918130132,14.3,,b,-1,0.08,soma,80.323999638,948.2937590181566,-291.5659887899073,791.0534941189985,,948.0,-291.31985585323207,790.6898394270004,none,0.0,success,105.0,0.005,"(948, -534, 2)",948.0,-534.0,2.0,,,,
10,random,4,x0y0,utah,15.598999999999998,18.7,Aa,saline,141.53490533491504,18.7,,b,-1,0.08,soma,92.559913702,604.9563012113912,-80.42748450277168,-899.7715741362526,,605.0,-80.94386683867776,-899.8922062143332,none,0.0,success,105.0,0.005,"(605, -598, -249)",605.0,-598.0,-249.0,,,,
11,random,4,x0y0,utah,13.597999999999999,16.4,Aa,saline,354.0503755804915,16.4,,b,-1,0.08,soma,86.16386771399998,720.9223533455695,275.6743350766578,1244.7877103361004,,721.0,276.1279034590291,1244.6102914141725,central,5.290000000000127,success,83.4228515625,0.005,"(721, 362, 421)",721.0,362.0,421.0,721.0,,362.0,421.0
12,random,4,x0y0,utah,13.859,16.7,Aa,saline,162.5389408614442,16.7,,b,-1,0.08,soma,86.998134582,-380.3833195760002,882.3036949844354,-313.10913253825316,,-380.0,882.6325700940292,-313.30526028888517,central,5.285000000000126,success,58.8134765625,0.005,"(-380, 634, 477)",-380.0,634.0,477.0,-380.0,,634.0,477.0
13,random,4,x0y0,utah,12.032,14.6,Aa,saline,113.64707474410801,14.6,,b,-1,0.08,soma,81.15826650599999,-224.79894288971997,500.02263061211306,494.294947616394,,-225.0,500.2304860597483,493.8602096522216,none,0.0,success,105.0,0.005,"(-225, -256, 825)",-225.0,-256.0,825.0,,,,
14,random,4,x0y0,utah,13.597999999999999,16.4,Aa,saline,258.0667746875082,16.4,,b,-1,0.08,soma,86.16386771399998,454.68491698678315,-472.4642492413423,-836.0157158651817,,455.0,-472.195364085689,-836.2473439216276,none,0.0,success,105.0,0.005,"(455, 338, -665)",455.0,338.0,-665.0,,,,
15,random,4,x0y0,utah,9.508999999999999,11.7,Aa,saline,68.25487506365876,11.7,,b,-1,0.08,soma,73.09368678199999,318.42062265865945,965.3335157521697,-270.78485949821015,,318.0,965.0527081415609,-270.61689452363447,none,0.0,success,105.0,0.005,"(318, 202, -575)",318.0,202.0,-575.0,,,,
16,random,4,x0y0,utah,11.51,14.0,Aa,saline,30.428836718247627,14.0,,b,-1,0.08,soma,79.48973277,-384.69158793743037,197.07560437213573,1088.7613900871702,,-385.0,196.7332748240026,1089.1774982837856,none,0.0,success,105.0,0.005,"(-385, -221, 378)",-385.0,-221.0,378.0,,,,
17,random,4,x0y0,utah,12.293000000000001,14.9,Aa,saline,333.93365466280807,14.9,,b,-1,0.08,soma,81.99253337399999,-597.0694438315128,-507.2705402085003,719.9167292128778,,-597.0,-506.9427595822679,719.9924463649323,none,0.0,success,105.0,0.005,"(-597, -144, -22)",-597.0,-144.0,-22.0,,,,
18,random,4,x0y0,utah,13.424,16.2,Aa,saline,339.6980113270145,16.2,,b,-1,0.08,soma,85.607689802,1357.55367159545,-592.6602013170494,422.6082467930487,,1358.0,-592.247934180647,422.39722613264803,none,0.0,success,105.0,0.005,"(1358, -305, -354)",1358.0,-305.0,-354.0,,,,
19,random,4,x0y0,utah,10.814,13.2,Aa,saline,207.3233023062056,13.2,,b,-1,0.08,soma,77.26502112200002,1786.499631518551,-685.3909626483924,-811.8869418053341,,1786.0,-685.0473223474992,-811.7151223823926,none,0.0,success,105.0,0.005,"(1786, -307, -80)",1786.0,-307.0,-80.0,,,,
20,random,4,x0y0,utah,11.075,13.5,Aa,saline,45.68536458797162,13.5,,b,-1,0.08,soma,78.09928799,-722.5453030551844,304.7558356088544,-55.0633903916455,,-723.0,304.6075202784227,-55.31891870509287,none,0.0,success,105.0,0.005,"(-723, -285, -631)",-723.0,-285.0,-631.0,,,,
21,random,4,x0y0,utah,9.77,12.0,Aa,saline,1.0636872181502754,12.0,,b,-1,0.08,soma,73.92795365,841.4720312943962,-205.71162577849412,12.308889687180455,,841.0,-205.711470031055,11.799584029635298,none,0.0,success,105.0,0.005,"(841, -221, -810)",841.0,-221.0,-810.0,,,,
22,random,4,x0y0,utah,14.033,16.9,Aa,saline,296.0709157545898,16.9,,b,-1,0.08,soma,87.55431249399997,-83.33316984651184,-254.8367811275625,-409.7089958289607,,-83.0,-254.49051945668032,-409.7524398294434,none,0.0,success,105.0,0.005,"(-83, 490, -774)",-83.0,490.0,-774.0,,,,
23,random,4,x0y0,utah,10.292,12.6,Aa,saline,186.57698870478612,12.6,,b,-1,0.08,soma,75.596487386,1011.8749802566664,144.06632788390155,-1260.282731590115,,1012.0,143.78960109715146,-1260.3677752846265,none,0.0,success,105.0,0.005,"(1012, 238, -443)",1012.0,238.0,-443.0,,,,
24,random,4,x0y0,utah,14.033,16.9,Aa,saline,188.6829996363539,16.9,,b,-1,0.08,soma,87.55431249399997,927.6805536218544,-161.12001575285376,-162.39978298964434,,928.0,-161.14535059329702,-162.2462189501598,none,0.0,success,105.0,0.005,"(928, -36, 657)",928.0,-36.0,657.0,,,,
25,random,4,x0y0,utah,13.337000000000002,16.1,Aa,saline,64.71472295623684,16.1,,b,-1,0.08,soma,85.329600846,106.53580514162478,174.19156432189584,-736.9297131076027,,107.0,174.37451254247674,-736.5043637393367,none,0.0,success,105.0,0.005,"(107, -574, -1090)",107.0,-574.0,-1090.0,,,,
26,random,4,x0y0,utah,11.771,14.3,Aa,saline,322.11124855523553,14.3,,b,-1,0.08,soma,80.323999638,1555.2952121555468,-605.9606976994493,-342.7164768918651,,1555.0,-605.7319840888481,-342.78214974284504,none,0.0,success,105.0,0.005,"(1555, -99, -994)",1555.0,-99.0,-994.0,,,,
27,random,4,x0y0,utah,14.033,16.9,Aa,saline,129.02631826427924,16.9,,b,-1,0.08,soma,87.55431249399997,1001.6121591978572,652.9278408371632,-443.035898593344,,1002.0,652.8769726882945,-442.88097528873607,none,0.0,success,105.0,0.005,"(1002, 9, 79)",1002.0,9.0,79.0,,,,
28,random,4,x0y0,utah,12.988999999999999,15.7,Aa,saline,223.19786201807682,15.7,,b,-1,0.08,soma,84.217245022,548.0105326783406,562.9852311265449,-569.6813251712701,,548.0,562.8441478912204,-569.9621858105191,none,0.0,success,105.0,0.005,"(548, 1129, 33)",548.0,1129.0,33.0,,,,
29,random,4,x0y0,utah,13.424,16.2,Aa,saline,143.54653743195482,16.2,,b,-1,0.08,soma,85.607689802,465.28918286894316,1162.844971434335,-96.49188193389408,,465.0,1162.8810446401742,-96.80263245387448,none,0.0,success,105.0,0.005,"(465, 671, 569)",465.0,671.0,569.0,,,,
