index,drg,drgnum,ePos,eType,fiberD_c,fiberD_p,fiberType,ground,neckAngle,neckD,nodes,phase,polarity,pw,scatterType,scatter_d,scatter_x,scatter_y,scatter_z,shift,soma_x,soma_y,soma_z,spikeOrigin,spikeT,status,thresh,timestep,tjnPos,tjn_x,tjn_y,tjn_z,x_spike,xshift,y_spike,z_spike
0,realistic,3,xp0_75,utah,9.335,11.5,Aa,saline,116.36202277906231,11.5,,b,-1,0.08,soma,72.53750887,-875.5649707054303,1064.3126833781744,-444.8843535975389,,-876.0,1063.8568039737602,-444.6433269691401,periphery,5.260000000000122,success,57.6416015625,0.005,"(-876, 328, -80)",-876.0,328.0,-80.0,-876.0,,328.0,-80.0
1,realistic,3,xp0_75,utah,12.988999999999999,15.7,Aa,saline,169.06229120727318,15.7,,b,-1,0.08,soma,84.217245022,371.06079185067637,320.3256840019212,-1402.4855672821375,,371.0,319.90250569033674,-1402.0552455813,none,0.0,success,105.0,0.005,"(371, 163, -590)",371.0,163.0,-590.0,,,,
2,realistic,3,xp0_75,utah,11.945,14.5,Aa,saline,147.6702342133671,14.5,,b,-1,0.08,soma,80.88017755,852.1746179442888,762.2896717670324,-1058.6486119598032,,852.0,762.4453594768702,-1058.496875014875,periphery,5.190000000000111,success,77.2705078125,0.005,"(852, 321, -361)",852.0,321.0,-361.0,852.0,,321.0,-361.0
3,realistic,3,xp0_75,utah,11.945,14.5,Aa,saline,-35.16408684449989,14.5,,b,-1,0.08,soma,80.88017755,1602.4569747431594,-565.6286522578425,1066.484489706837,,1602.0,-565.3709471255225,1066.7972725735626,none,0.0,success,105.0,0.005,"(1602, -90, 392)",1602.0,-90.0,392.0,,,,
4,realistic,3,xp0_75,utah,9.943999999999999,12.2,Aa,saline,207.3989775874181,12.2,,b,-1,0.08,soma,74.484131562,744.6291137139533,-501.0320941897194,-1082.6666065194115,,745.0,-501.39579867241633,-1082.9865060003722,none,0.0,success,105.0,0.005,"(745, -123, -353)",745.0,-123.0,-353.0,,,,
5,realistic,3,xp0_75,utah,14.381,17.3,Aa,saline,14.102420279026404,17.3,,b,-1,0.08,soma,88.66666831799999,904.9093887154124,482.2866493988731,1088.259736962214,,905.0,482.10853353454837,1088.3704008008144,periphery,5.190000000000111,success,67.4072265625,0.005,"(905, 280, 284)",905.0,280.0,284.0,905.0,,280.0,284.0
6,realistic,3,xp0_75,utah,14.467999999999998,17.4,Aa,saline,-21.2041725613428,17.4,,b,-1,0.08,soma,88.944757274,1267.8809048002545,-511.6743496764984,1018.6706861411458,,1268.0,-512.020159353003,1018.3170986032753,none,0.0,success,105.0,0.005,"(1268, -212, 245)",1268.0,-212.0,245.0,,,,
7,realistic,3,xp0_75,utah,10.814,13.2,Aa,saline,50.780162318706786,13.2,,b,-1,0.08,soma,77.26502112200002,-1855.3934578088736,726.0078475102628,668.4547443495385,,-1855.0,726.068105931607,668.7828364277204,none,0.0,success,105.0,0.005,"(-1855, 88, 148)",-1855.0,88.0,148.0,,,,
8,realistic,3,xp0_75,utah,13.076,15.8,Aa,saline,15.746973317533671,15.8,,b,-1,0.08,soma,84.495333978,477.1520980923085,526.286376616401,1341.6650467777345,,477.0,526.5150168208146,1341.2258794769127,none,0.0,success,105.0,0.005,"(477, 302, 545)",477.0,302.0,545.0,,,,
9,realistic,3,xp0_75,utah,14.729,17.7,Aa,saline,56.62474757357249,17.7,,b,-1,0.08,soma,89.77902414200001,-1436.2972683565374,894.0779879025918,441.0111405794737,,-1436.0,894.0407315304923,440.52222059025723,periphery,5.240000000000119,success,63.525390625,0.005,"(-1436, 201, -16)",-1436.0,201.0,-16.0,-1436.0,,201.0,-16.0
